account,date,trade_count,avg_trade_size_usd,total_exposure_usd,avg_fee,daily_pnl,win_rate,pnl_count,long_ratio,drawdown_proxy,value,classification,sentiment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,97,887.6931958762888,86106.24,0.3106920412371134,3434.689308,1.0,97.0,0.0,19070.823546,39.0,Fear,FEAR
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,568,2593.2515492957746,1472966.88,0.3485265176056338,2654.14315,0.9882352941176471,340.0,0.301056338028169,16416.680395999996,72.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,680,1679.7829852941175,1142252.43,0.2766250705882353,1867.252909,0.830423940149626,401.0,0.34852941176470587,14549.427486999994,63.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,330,3782.839757575757,1248337.1199999999,0.5970806766060607,1969.39321,0.41237113402061853,97.0,0.3787878787878788,12580.034276999992,60.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,338,284.5678402366864,96183.93,0.050047639053254434,-4648.8710550000005,0.0,338.0,0.0,17228.905331999995,65.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,67,1435.3307462686569,96167.16,0.003987029850746269,0.0,,0.0,1.0,17228.905331999995,61.0,Greed,GREED
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,83,1221.0467469879518,101346.88,0.3663135421686747,5179.772745,1.0,83.0,0.0,12049.132586999993,56.0,Greed,GREED
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1,1584.35,1584.35,0.53234,1584.342755,1.0,1.0,0.0,0.0,78.0,Extreme Greed,GREED
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,4,39530.9875,158123.95,8.53242775,208.81746,1.0,3.0,0.0,0.0,84.0,Extreme Greed,GREED
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,797,6131.710464240904,4886973.24,1.4819763299874529,16706.884912,0.9803921568627451,306.0,0.09284818067754078,0.0,18.0,Extreme Fear,FEAR
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,339,21898.95651917404,7423746.26,7.265669383480826,13264.043303999999,0.8181818181818182,231.0,0.0,0.0,39.0,Fear,FEAR
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,313,8678.024504792333,2716221.67,2.3005792747603833,5942.547242,1.0,40.0,0.0,0.0,32.0,Fear,FEAR
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,863,3079.8473348783314,2657908.25,0.7134004252607185,8277.307357,1.0,424.0,0.0,0.0,37.0,Fear,FEAR
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,353,1965.9329745042492,693974.34,0.3343750849858357,2638.012587,1.0,61.0,0.0,0.0,39.0,Fear,FEAR
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,469,20030.785479744136,9394438.39,5.302883936034115,-108176.9187,0.2796610169491525,236.0,0.0,127214.259261,72.0,Greed,GREED
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,70,15603.565285714287,1092249.57,3.9033906000000003,8157.112326,0.9428571428571428,70.0,0.0,119057.146935,63.0,Greed,GREED
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,1,0.17,0.17,0.0,0.0,,0.0,0.0,119057.146935,60.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,93,373.7049462365591,34754.56,0.11041802150537636,159.100072,0.6153846153846154,26.0,0.40860215053763443,0.0,86.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,95,353.5228421052631,33584.67,0.1079118842105263,161.289904,0.7727272727272727,44.0,0.23157894736842105,0.0,90.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,162,666.941975308642,108044.6,0.23127040740740742,147.410285,0.7204301075268817,93.0,0.2716049382716049,0.0,83.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,213,895.9638028169014,190840.29,0.3136932535211268,233.36546,0.8739495798319328,119.0,0.3333333333333333,0.0,90.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,407,2149.553218673219,874868.16,0.7329540909090909,-316.245208,0.6467889908256881,218.0,0.3857493857493858,316.245208,83.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,446,729.007130044843,325137.18,0.2503339955156951,780.001314,0.6638297872340425,235.0,0.3968609865470852,0.0,82.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,433,422.0099076212471,182730.29,0.1436539284064665,141.21958999999998,0.5895196506550219,229.0,0.3556581986143187,0.0,94.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,156,333.45923076923077,52019.64,0.11394887820512821,673.6312,0.8181818181818182,77.0,0.358974358974359,0.0,93.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,69,200.7391304347826,13851.0,0.06478034782608696,108.321127,0.8285714285714286,35.0,0.42028985507246375,0.0,80.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,225,324.3673333333333,72982.65,0.10867223555555557,464.281002,0.6834532374100719,139.0,0.17777777777777778,0.0,82.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,217,1012.5778341013826,219729.39,0.3480340599078341,-508.290641,0.6551724137931034,116.0,0.41013824884792627,508.29064100000005,79.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,169,1110.83224852071,187730.65,0.37136686982248523,193.66415899999998,0.7956989247311828,93.0,0.23668639053254437,314.6264820000001,75.0,Extreme Greed,GREED
